"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene_ID"
"254996_at"	0.893696515979521	6.68502437652865	9.47000451790081	4.8745037499737e-06	0.00511225775698483	4.59187555856389	"AT4G10390"
"264415_at"	1.74496650973201	8.44686730508688	9.45709049397921	4.93071769634661e-06	0.00511225775698483	4.5817872519821	"AT1G43160"
"245090_at"	1.30989114115586	7.36362343978185	9.32123176352824	5.56728108465015e-06	0.00527683779527582	4.47466804945658	"AT2G40900"
"247638_at"	0.678380271896263	6.84317345799757	9.23556616320101	6.01480853472912e-06	0.00527683779527582	4.40618609446858	"AT5G60490"
"259586_at"	1.05238321582093	6.45654032206823	9.27074155687843	5.82643618502032e-06	0.00527683779527582	4.4343942516079	"AT1G28100"
"262912_at"	-1.29267488495318	5.80808166947033	-9.28000937471822	5.77789029124575e-06	0.00527683779527582	4.44180579388871	"AT1G59740"
"254520_at"	0.741588584188369	5.68554286176145	9.19270946726614	6.25341126020185e-06	0.0052829744757483	4.37165022173834	"AT4G19960"
"262827_at"	0.918704295067568	6.07017260497367	9.1256607521686	6.64782662816662e-06	0.00541560447816002	4.31724681344366	"AT1G13100"
"267628_at"	0.761523613573847	5.88781530744268	9.0589625208847	7.06745182487227e-06	0.00555891641811505	4.26267294435671	"AT2G42280"
"252414_at"	0.681433569065639	8.00436586318013	8.93911447413242	7.89648846324033e-06	0.00600396339488373	4.16345668488948	"AT3G47420"
"249367_at"	-0.712213381582803	7.39329642227442	-8.8312180579385	8.73480134847328e-06	0.00642712318576372	4.07284778697911	"AT5G40630"
"245186_at"	1.02725616295617	5.17213287799216	8.72693396789397	9.63870901821477e-06	0.00656974441418956	3.98409486862484	"AT1G67710"
"248469_at"	0.660372371873741	6.52029219185998	8.75527411818547	9.38331334695795e-06	0.00656974441418956	4.00832984672898	"AT5G50820"
"252220_at"	0.979857054935454	8.94683644732885	8.71024246896444	9.79269224385993e-06	0.00656974441418956	3.96978059642139	"AT3G49940"
"247985_at"	0.651510930768206	7.13510613516445	8.52360153719598	1.1711140007735e-05	0.007632317245041	3.8076484678512	"AT5G56790"
"247357_at"	0.701527053581196	6.96283980243065	8.30234766030893	1.45372090071037e-05	0.00766547210254101	3.61041686774711	"AT5G63710"
"248271_at"	0.965021667920487	6.67333064934956	8.28350118496207	1.4810474732651e-05	0.00766547210254101	3.5933591044524	"AT5G53420"
"248674_at"	1.19114926517719	4.71783768681079	8.23574615592468	1.55284454737857e-05	0.00766547210254101	3.54995297901779	"AT5G48800"
"249687_at"	-1.12946184736642	7.06248851575732	-8.2417580258718	1.54359964358422e-05	0.00766547210254101	3.55543188774863	"AT5G36150"
