,Ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_symbol
36,AT1G35910,230.313703808433,-3.5364889432309,0.210163773506842,-16.8273003678046,1.53963771107464e-63,8.81228751019251e-61,TPPD
37,AT4G02110,810.18965621579,-1.69143141578768,0.100912985333161,-16.7612860743687,4.68381949225514e-63,2.60838109832208e-60,
38,AT1G36180,553.321159710975,-2.09388609019908,0.12830763235436,-16.3192637240486,7.19987348135405e-60,3.90403666008685e-57,ACC2
39,AT2G46610,304.82038882597,-2.67874191457176,0.164181613524838,-16.3157241365916,7.62960420841846e-60,4.03097422344776e-57,RS31a
40,AT1G30040,173.505999848034,-4.53761432888135,0.282393930171442,-16.0683847776988,4.25017189653174e-58,2.18936979820091e-55,ATGA2OX2
41,AT5G66130,290.902035298032,-2.53394867007678,0.158259982006217,-16.0113039187458,1.06553176222302e-57,5.35494681965985e-55,ATRAD17
42,AT5G23980,162.955499880299,-5.12084675564541,0.328769833930223,-15.5757804614527,1.06347060234894e-54,5.21733613366666e-52,ATFRO4
43,AT5G67460,361.22814351312,-2.31523803672641,0.150614579098613,-15.3719384310767,2.52500044558559e-53,1.20994498096026e-50,
44,AT3G07540,195.446000451501,-3.60435749385472,0.235234088042464,-15.3224284960098,5.41557176839056e-53,2.53608764290199e-50,
45,AT5G59520,1433.5246646354,-1.61331534391402,0.105539419785291,-15.2863768551707,9.42497645044912e-53,4.31559199470009e-50,ZIP2
46,AT3G46900,205.065882724871,-6.52609686821121,0.428365029851879,-15.2348964397673,2.07455589307906e-52,9.29265742975957e-50,COPT2
47,AT5G40840,724.709286098228,-1.63592114137629,0.10751911749874,-15.2151652602196,2.80510211423e-52,1.22976870348317e-49,SYN2
48,AT5G14930,377.032129777795,-1.96423934673042,0.130473904124744,-15.0546529584371,3.217835212117e-51,1.38132280303481e-48,SAG101
49,AT5G22800,265.352062099041,-2.43815385405859,0.165474995022789,-14.7342736207534,3.88350461697753e-49,1.63305331903719e-46,EMB86
50,AT3G56240,3135.85903162809,-1.67581015719606,0.114325531488765,-14.6582319397373,1.1934020132109e-48,4.91800969644211e-46,CCH
51,AT5G56780,196.709263079832,-2.78669255592485,0.190206552567673,-14.6508756838615,1.3299058077835e-48,5.37308022929001e-46,ATET2
52,AT2G44790,6869.09673768685,1.29787349717444,0.0891001161538909,14.5664624604169,4.59054315872449e-48,1.81900272664458e-45,UCC2
53,AT1G05710,266.289561624929,-2.63584361266578,0.184944243701407,-14.2520986861389,4.35008899093786e-46,1.69119969166556e-43,
54,AT2G31320,781.95122257837,-1.44849557886931,0.101675707035024,-14.2462306986501,4.73138549158916e-46,1.80537403804064e-43,PARP2
55,AT2G21790,2469.10906652853,-1.11227492892279,0.0784880043173141,-14.17127290466,1.37976630229085e-45,5.16910630158236e-43,R1
56,AT5G49480,5568.7171996451,-1.06695407640644,0.0753131325708217,-14.1669060890956,1.46828218504639e-45,5.40249186122871e-43,ATCP1
57,AT1G08260,1784.30006906037,-1.52023877700523,0.108487218255,-14.0130680964821,1.29679314363432e-44,4.68779346045355e-42,EMB142
58,AT5G67360,4194.70494252628,-1.10374674446589,0.0797288302408491,-13.8437594171598,1.38755640763789e-43,4.92941375506529e-41,ARA12
59,AT3G25250,1292.29905161449,-1.2126362677229,0.0879359740694107,-13.7899907353699,2.92797531635991e-43,1.02255815921349e-40,AGC2-1
60,AT1G14720,415.82184879914,-1.7421485804998,0.127908077745331,-13.6203171152996,3.03248111420936e-42,1.0414045559714e-39,XTR2
61,AT5G61740,141.894848670424,-5.66514971891652,0.418500216145546,-13.5367904253275,9.48431314969842e-42,3.20367659753338e-39,ATATH14
62,AT3G53540,381.755572132032,-1.76320412432465,0.131014354531605,-13.4580987757285,2.75924775421481e-41,9.17004838316066e-39,
63,AT4G20320,517.589056210174,1.5727423996787,0.117272130302227,13.411049970914,5.20959988808153e-41,1.70386993164952e-38,
64,AT4G37030,139.75300465391,-4.0031146451513,0.300447145285337,-13.3238564851382,1.68190083294764e-40,5.41493229107597e-38,
65,AT3G16770,165.874323783235,-2.88462530996524,0.218882723393754,-13.1788624759388,1.1612859335434e-39,3.68127640933256e-37,RAP2.3
66,AT5G53550,904.470627463792,-1.38189427582908,0.10503153684179,-13.1569461647567,1.55234322997506e-39,4.84636852327821e-37,YSL3
67,AT5G55490,174.694932224984,-2.7487840411622,0.21071432442708,-13.0450744088518,6.77907777572589e-39,2.08481936669898e-36,ATGEX1
68,AT1G12520,556.424207690366,1.62688202852886,0.125712359460904,12.9413053378798,2.63120457071484e-38,7.97293679111461e-36,ATCCS
69,AT2G47010,144.527376316781,-3.00690414066654,0.23459893225694,-12.8172115351884,1.3133947952129e-37,3.92210141382057e-35,
70,AT3G50930,376.014595193044,-2.47234467903675,0.194978739164064,-12.68007316919,7.62606458060682e-37,2.24478658119148e-34,BCS1
71,AT5G49110,334.675580931608,-1.98682417598666,0.157005348759222,-12.6544999370281,1.05646108634891e-36,3.06596911045342e-34,
