"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_symbol"
"AT2G47680",575.896977311274,-2.06843970684219,0.112997651839873,-18.3051565511587,7.52753186089453e-75,5.34844117219765e-72,"ATC3H31"
"AT4G04620",116.201864171411,-2.07044267414645,0.262655515916071,-7.88273060600045,3.20303138573565e-15,3.66658120572684e-13,"ATG8B"
"AT4G39180",31.8193873926876,-2.09344816577704,0.425708661764572,-4.91756065544839,8.7629309263497e-07,2.62061236193666e-05,"SEC14"
"AT1G36180",553.321159710975,-2.09388609019908,0.12830763235436,-16.3192637240486,7.19987348135405e-60,3.90403666008685e-57,"ACC2"
"AT1G03440",164.091419649589,-2.10583104271263,0.208069459094062,-10.1208079834563,4.46712534486165e-24,8.76620168865469e-22,"AT1G03440"
"AT4G18510",85.8287883477653,-2.12219408744828,0.256708180975572,-8.26695152208735,1.37427810832299e-16,1.78094342276699e-14,"CLE2"
"AT2G41100",265.417040983372,-2.13670428793334,0.22755484413025,-9.38984312155673,6.00896895237661e-21,1.03179004386433e-18,"TCH3"
"AT4G02520",55.2025193792752,-2.14492221209168,0.369354738477404,-5.80721455187964,6.35207175842634e-09,3.3388887393463e-07,"GSTF2"
"AT1G58007",39.4905948015621,-2.15405793522858,0.382952962564986,-5.62486296176137,1.85655299132892e-08,8.79408606582353e-07,"AT1G58007"
"AT1G07590",1399.86268767593,-2.23298826522142,0.107325195413731,-20.8058159746499,3.83380936367643e-96,3.43459312776317e-93,"AT1G07590"
"AT2G41730",34.1471583338518,-2.23886407249113,0.443151249758979,-5.0521443270414,4.36877373589035e-07,1.41094957410691e-05,"HRG1"
"AT5G57560",337.567047977207,-2.27933008677134,0.190074835818676,-11.991750917232,3.92519344718194e-33,1.0641922497261e-30,"TCH4"
"AT3G27060",5581.03817276379,-2.29219136100237,0.0830729015797328,-27.5925279773976,1.3678838351536e-167,3.52315580291748e-164,"TSO2"
"AT1G07600",145.982216446613,-2.294092188485,0.267973441320043,-8.56089386016859,1.11995777141532e-17,1.65259769657829e-15,"MT1A"
"AT5G67460",361.22814351312,-2.31523803672641,0.150614579098613,-15.3719384310767,2.52500044558559e-53,1.20994498096026e-50,"AT5G67460"
"AT3G48610",132.382085339113,-2.35726286314035,0.219906639128062,-10.7193801537188,8.25547189530067e-27,1.79056840423864e-24,"NPC6"
"AT2G45460",441.132737452488,-2.37701109683962,0.133839839437479,-17.7601161719116,1.43936355935566e-70,9.56712456145914e-68,"AT2G45460"
"AT3G11260",25.4087474971818,-2.38882405354334,0.487607126479817,-4.89907534942932,9.628871586471e-07,2.83028386646555e-05,"WOX5"
"AT5G20850",457.953086377432,-2.40431108422379,0.136817440573084,-17.5731330315267,3.95703184164869e-69,2.47074669991428e-66,"ATRAD51"
"AT4G15630",65.6742060328108,-2.43803157111957,0.348573480798164,-6.9943116887061,2.66564351137033e-12,2.37773093297774e-10,"CASPL1E1"
"AT5G22800",265.352062099041,-2.43815385405859,0.165474995022789,-14.7342736207534,3.88350461697753e-49,1.63305331903719e-46,"EMB86"
"AT3G50930",376.014595193044,-2.47234467903675,0.194978739164064,-12.68007316919,7.62606458060682e-37,2.24478658119148e-34,"BCS1"
"AT3G24770",115.284910217789,-2.48181340038884,0.246281873217145,-10.0771257257762,6.97362558793329e-24,1.34291173120902e-21,"CLE41"
"AT2G37240",195.814902381777,-2.51650068455544,0.20981638956261,-11.9938232175352,3.82819153430052e-33,1.05173182085683e-30,"AT2G37240"
"AT3G48770",25.1564841658169,-2.52027358756984,0.482462866155961,-5.22376697641045,1.75319384867444e-07,6.31548238670225e-06,"AT3G48770"
"AT5G66130",290.902035298032,-2.53394867007678,0.158259982006217,-16.0113039187458,1.06553176222302e-57,5.35494681965985e-55,"RAD17"
"AT5G58070",972.08468079604,-2.5821977664457,0.123944673191188,-20.8334710961122,2.15279476907276e-96,2.01628800985201e-93,"TIL"
"AT1G33790",264.760261878065,-2.5953331267913,0.468577391818298,-5.53875020883999,3.04637781603415e-08,1.34700890342025e-06,"AT1G33790"
"AT1G05710",266.289561624929,-2.63584361266578,0.184944243701407,-14.2520986861389,4.35008899093786e-46,1.69119969166556e-43,"AT1G05710"
"AT2G46610",304.82038882597,-2.67874191457176,0.164181613524838,-16.3157241365916,7.62960420841846e-60,4.03097422344776e-57,"RS31a"
"AT4G01460",31.8774823869704,-2.67962807756329,0.444323587838252,-6.03080311491084,1.63146853445386e-09,9.7157251885612e-08,"AT4G01460"
"AT1G02930",86.8699618458806,-2.72189795855493,0.312065448954448,-8.72220224210802,2.72842433181438e-18,4.22700626744626e-16,"GSTF6"
"AT1G55200",107.026673660528,-2.72521015172706,0.265088860099092,-10.2803646698256,8.64000700445066e-25,1.71180138775679e-22,"AT1G55200"
"AT5G55490",174.694932224984,-2.7487840411622,0.21071432442708,-13.0450744088518,6.77907777572589e-39,2.08481936669898e-36,"GEX1"
"AT2G38250",37.5768791255644,-2.75720199246824,0.433379206420955,-6.36210033065151,1.99013368441304e-10,1.39005778194341e-08,"AT2G38250"
"AT5G11460",390.149869606767,-2.76126586039342,0.157326777499815,-17.5511499331172,5.82878304155214e-69,3.53241395797594e-66,"FLZ10"
"AT1G61470",25.1775638837533,-2.76507961194915,0.504042270953183,-5.48580897137887,4.11581485390226e-08,1.77419173775431e-06,"CAF1E"
"AT5G46590",58.4256994964146,-2.77667307344086,0.33871512437259,-8.1976648624243,2.45101537514529e-16,3.07946169541883e-14,"NAC096"
"AT5G56780",196.709263079832,-2.78669255592485,0.190206552567673,-14.6508756838615,1.3299058077835e-48,5.37308022929001e-46,"ET2"
"AT5G48720",1882.82324733244,-2.79454773866689,0.098358032270129,-28.4119931455317,1.43770275817633e-177,4.93731088870387e-174,"XRI1"
"AT2G02990",47.137311121841,-2.80163271752391,0.384842695250162,-7.27994256381233,3.33962330698819e-13,3.29248508327712e-11,"RNS1"
"AT3G07800",1289.78169773925,-2.84199696987838,0.114501149450878,-24.8206850630579,5.36171425328372e-136,9.20651018240926e-133,"TK1a"
"AT4G01450",56.4134961252462,-2.86104578990927,0.384530510933612,-7.44036092991128,1.00410575062747e-13,1.05023345135426e-11,"UMAMIT30"
"AT3G16770",165.874323783235,-2.88462530996524,0.218882723393754,-13.1788624759388,1.1612859335434e-39,3.68127640933256e-37,"RAP2.3"
"AT1G21520",51.6414208761958,-2.90466496108053,0.362563149623986,-8.01147321257816,1.13342424676762e-15,1.34995413899692e-13,"AT1G21520"
"AT3G47480",35.6865657401173,-2.90621099241481,0.435552589055651,-6.67246864199787,2.51535809767028e-11,1.96321793948849e-09,"CML47"
"AT4G21070",1177.76471330996,-2.97426425727117,0.108162056370207,-27.4982221777582,1.84371603696968e-166,4.22108543797336e-163,"BRCA1"
"AT1G05490",122.301827804401,-2.98483101160105,0.241065731616838,-12.3818138380004,3.27848526322253e-35,9.12880930387842e-33,"Chr31"
"AT2G47010",144.527376316781,-3.00690414066654,0.23459893225694,-12.8172115351884,1.3133947952129e-37,3.92210141382057e-35,"AT2G47010"
"AT1G68290",34.2298647924276,-3.02634372433798,0.460451448115776,-6.57255772942434,4.94582017246902e-11,3.73291665398257e-09,"ENDO2"
"AT1G59850",45.0273515167997,-3.15703624426881,0.446293215427614,-7.07390597736044,1.50632367101406e-12,1.39809906492093e-10,"AT1G59850"
"AT5G07610",436.379760135392,-3.21358692713831,0.163491955206809,-19.6559330584387,5.14344694229033e-86,4.23922896983569e-83,"AT5G07610"
"AT4G28950",529.273509717734,-3.21630910399189,0.144964943374838,-22.1868061968294,4.60563302212059e-109,5.93119177629968e-106,"ARAC7"
"AT3G10930",59.2728482831435,-3.23926357900238,0.38095207684635,-8.50307368270071,1.846356314738e-17,2.62373599070182e-15,"IDL7"
"AT2G46400",35.8159609502756,-3.23946369618486,0.465914806868453,-6.95290994926352,3.57827118981637e-12,3.13745863260282e-10,"WRKY46"
"AT2G18193",2362.3442691216,-3.24548375813198,0.0994219055796762,-32.6435481115484,9.8939185258999e-234,1.01932095613084e-229,"AT2G18193"
"AT4G02390",951.714094999613,-3.24835631338481,0.11768518497097,-27.6020835943463,1.05044120211613e-167,3.09204870994326e-164,"PARP2"
"AT1G75690",64.9117172587524,-3.32041509146717,0.356640155912761,-9.31026704766075,1.27511343993094e-20,2.1535829860473e-18,"LQY1"
"AT1G66040",104.57766569789,-3.37187920432683,0.298454979182313,-11.2977817075288,1.34574461686862e-29,3.2243102128579e-27,"VIM4"
"AT3G22910",51.8254207863441,-3.39908183312121,0.465871742480212,-7.29617515547336,2.9606343580544e-13,2.99038583077014e-11,"AT3G22910"
"AT4G34510",53.0139706197137,-3.41220471708287,0.401055956113601,-8.50805147029496,1.76880676773094e-17,2.56663827106309e-15,"KCS17"
"AT1G35910",230.313703808433,-3.5364889432309,0.210163773506842,-16.8273003678046,1.53963771107464e-63,8.81228751019251e-61,"TPPD"
